2025-06-09 10:06:20,091 sDEBUG    | waiting [text:{'text': 'stop'}] ok
2025-06-09 10:06:20,108 sDEBUG    | click: [stop/::0xC350]  (2891,941)]
2025-06-09 10:06:30,402 sDEBUG    | Sleep: ■■■■■■■■■■■■■■■■■■■■ [5/5]
2025-06-09 10:06:30,403 sINFO     | 重命名录制视频存在
2025-06-09 10:06:30,556 sINFO     | 关闭录屏
2025-06-09 10:06:39,264 sDEBUG    | Sleep: ■■■■■■■■■■■■■■■■■■■■ [5/5]
2025-06-09 10:06:39,265 sDEBUG    | stop
2025-06-09 10:06:47,249 sDEBUG    | Sleep: ■■■■■■■■■■■■■■■■■■■■ [5/5]
2025-06-09 10:06:48,030 sINFO     | 通过截图匹配停止录音按钮
2025-06-09 10:06:48,037 sDEBUG    | click: [/::0x-1]  (1408,241)]
2025-06-09 10:06:53,100 sDEBUG    | Sleep: ■■■■■■■■■■■■■■■■■■■■ [5/5]
2025-06-09 10:06:53,101 sINFO     | 保存全部译文
2025-06-09 10:06:53,768 sDEBUG    | waiting [text:{'text': '显示发言人'}] ok
2025-06-09 10:06:53,768 sINFO     | 点击=====》显示发言人
2025-06-09 10:06:53,787 sDEBUG    | click: [显示发言人/::0xC364]  (1854,391)]
2025-06-09 10:06:58,838 sDEBUG    | Sleep: ■■■■■■■■■■■■■■■■■■■■ [5/5]
2025-06-09 10:07:03,027 sDEBUG    | waiting [text:{'text': '显示发言人'}] ok
2025-06-09 10:07:07,295 sINFO     | 获取录音笔记内容存储路径：C:\Users\1\.config\hihonornote\resources
2025-06-09 10:07:07,295 sINFO     | 最新目录：C:\Users\1\.config\hihonornote\resources\2351758ff3594595a89e9901d35ea1a2
2025-06-09 10:07:11,500 sDEBUG    | waiting [text:{'text': 'AI\\s*会议纪要'}] ok
2025-06-09 10:07:11,517 sDEBUG    | click: [AI 会议纪要/::0xC364]  (2183,391)]
2025-06-09 10:07:14,312 sDEBUG    | waiting [text:{'text': '常规汇报会议'}] ok
2025-06-09 10:07:14,333 sDEBUG    | click: [常规汇报会议/::0xC364]  (2643,448)]
2025-06-09 10:07:27,393 sDEBUG    | waiting [text:{'text': '复制'}] ok
2025-06-09 10:07:29,433 sDEBUG    | click: [复制/::0xC364]  (2757,1688)]
2025-06-09 10:07:31,439 sINFO     | 会议纪要已保存，正常退出
2025-06-09 10:07:36,494 sDEBUG    | Sleep: ■■■■■■■■■■■■■■■■■■■■ [5/5]
2025-06-09 10:07:36,495 sINFO     | run TestCase end : 笔记-媒体音内录[note_sys] 0
2025-06-09 10:07:43,991 sDEBUG    | Sleep: ■■■■■■■■■■■■■■■■■■■■ [5/5]
2025-06-09 10:07:43,991 sINFO     | 比较字错率
2025-06-09 10:07:44,398 sINFO     | 字符总数1131,错误数61
2025-06-09 10:07:44,399 sINFO     | run TestSuilt end : 音频识别[SpeechRecognize]
2025-06-09 10:07:44,399 sINFO     | ########################### loop finished
2025-06-09 10:07:46,410 sINFO     | ####### project finished!!
2025-06-09 10:07:46,410 sINFO     |                               
2025-06-09 10:07:46,410 sINFO     |      █████╗  █████╗ ████████╗
2025-06-09 10:07:46,410 sINFO     |     ██╔══██╗██╔══██╗╚══██╔══╝
2025-06-09 10:07:46,410 sINFO     |     ███████║███████║   ██║   
2025-06-09 10:07:46,410 sINFO     |     ██╔══██║██╔══██║   ██║   
2025-06-09 10:07:46,410 sINFO     |     ╚═╝  ╚═╝╚═╝  ╚═╝   ╚═╝ V2.1.0 [buid_id:2025-04-17-185984]
2025-06-09 10:07:46,410 sINFO     | 获取帮助及最新版本: http://rnd-rhino.rnd.hihonor.com/wiki/doku.php?id=rhino集成测试系统:自动化测试:融合自动化测试_aat:1.简介
2025-06-09 10:07:47,371 sINFO     | TestCase: Total:1 | Sucess:1, Error:0, BLock:0 | Pass:0, Fail:0, Undefind:1
2025-06-09 10:07:47,371 sINFO     | report: D:\code\aat_project_pc_speech_recognize\report\report.xml
